#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 02:48:35       1     54     30     29   1593    210      3     11 
 02:48:36       1     54     30     29   1593    210      0      0 
 02:48:37       1     54     30     29   1593    210      0      0 
 02:48:38       1     54     30     28   1593    210      0      0 
 02:48:39       1     54     30     28   1593    210      0      0 
 02:48:40       1     54     30     29   1593    210      0      0 
 02:48:42       1     62     30     29   1593   1140      0      0 
 02:48:43       1     60     30     29   1593   1140      0      0 
 02:48:44       1     62     30     29   1593   1140      1    103 
 02:48:45       1     63     30     28   1593   1140     27     16 
 02:48:46       1     63     30     29   1593   1140      0   1843 
 02:48:47       1     63     30     29   1593   1140      0      0 
 02:48:48       1     60     30     29   1593   1140      0      0 
 02:48:49       1     60     30     29   1593   1140      0      0 
 02:48:50       1     60     30     29   1593   1140     33     20 
 02:48:51       1     64     30     29   1593   1140      2      0 
 02:48:52       1     66     30     29   1593   1140      1      0 
 02:48:53       1     61     30     29   1593   1140      0      5 
 02:48:54       1     60     30     29   1593   1140     18    318 
 02:48:55       1     60     30     28   1593   1140      4      0 
 02:48:56       1     60     30     28   1593   1140      0      0 
 02:48:57       1     60     30     29   1593   1140     33     20 
 02:48:59       1     62     30     29   1593   1140     20     34 
 02:49:00       1     60     30     29   1593   1140      0      0 
 02:49:01       1     60     30     29   1593   1140     33     20 
 02:49:02       1     60     30     29   1593   1140      0      9 
 02:49:03       1     61     30     28   1593   1140      0      0 
 02:49:04       1     60     30     29   1593   1140      0    104 
 02:49:05       1     63     30     29   1593   1140    933      9 
 02:49:06       1    247     33     30   1593   1410      0      0 
 02:49:07       1    290     40     33   1593   1410     24      0 
 02:49:08       1    267     39     35   1593   1410      0     14 
 02:49:09       1     76     33     30   1593   1410      0      0 
 02:49:10       1     75     32     30   1593   1410     32     23 
 02:49:11       1     74     32     30   1593   1410      0    102 
 02:49:12       1     75     32     30   1593   1410     19    411 
 02:49:14       1     74     32     30   1593   1410     10      2 
 02:49:15       1     75     32     30   1593   1410      3      2 
 02:49:16       1     77     34     30   1593   1410      0      0 
 02:49:17       1     75     32     30   1593   1410      7     19 
 02:49:18       1     77     38     32   1593   1410     18     23 
 02:49:19       1     76     32     30   1593   1410      1     91 
 02:49:20       1     76     35     31   1593   1410      0      0 
 02:49:21       1     75     34     31   1593   1410     14     20 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 02:49:22       1    138     38     33   1593   1410     24     38 
 02:49:23       1     76     33     31   1593   1410     26     16 
 02:49:25       1    257     37     33   1593   1410      3      1 
 02:49:26       1     75     33     30   1593   1410     32     23 
 02:49:27       1     86     35     31   1593   1410      0      0 
 02:49:28       1     75     33     31   1593   1410     19     20 
 02:49:29       1     75     33     31   1593   1410      4      1 
 02:49:30       1     75     33     31   1593   1410      0      0 
 02:49:31       1     75     33     30   1593   1410      0      0 
 02:49:32       1     77     33     31   1593   1410     25      8 
 02:49:33       1     75     32     30   1593   1410      4      1 
 02:49:34       1     64     32     30   1593   1140      0      6 
 02:49:35       1     63     32     30   1593   1140    120    313 
 02:49:36       1     60     32     30   1593   1140      0     13 
 02:49:37       1     61     32     30   1593   1140  10323     54 
 02:49:38       1    299     35     31   1593   1410      0      0 
 02:49:39       1     75     32     30   1593   1410      0      0 
 02:49:40       1     75     32     30   1593   1410      0      0 
 02:49:42       1    294     41     32   1593   1410      2      1 
 02:49:43       1     75     34     31   1593   1410      0      0 
 02:49:44       1    339     45     36   1593   1410      6      3 
 02:49:45       1     80     34     32   1593   1410      1      2 
 02:49:46       1     75     33     31   1593   1140      0      0 
 02:49:47       1     55     32     31   1593    510      0      0 
 02:49:48       1    209     37     35   1593   1410      7      2 
 02:49:49       1    123     37     33   1593   1410     24     39 
