cublas_ref: M=4096 N=4096 K=4096, time=7.2222 ms, GFLOPS=19030.15
naive_kernel: M=4096 N=4096 K=4096, time=45.0564 ms, GFLOPS=3050.38
smem_kernel: M=4096 N=4096 K=4096, time=25.6824 ms, GFLOPS=5351.48
blocktiling_kernel: M=4096 N=4096 K=4096, time=13.3127 ms, GFLOPS=10323.88
Dblocktiling_kernel: M=4096 N=4096 K=4096, time=9.5225 ms, GFLOPS=14433.10
vectorized_kernel: M=4096 N=4096 K=4096, time=7.7965 ms, GFLOPS=17628.22
autotune_64x64x8_8x4: M=4096 N=4096 K=4096, time=7.8053 ms, GFLOPS=17608.33
autotune_64x64x16_8x4: M=4096 N=4096 K=4096, time=8.1699 ms, GFLOPS=16822.64
autotune_64x64x8_8x8: M=4096 N=4096 K=4096, time=8.1897 ms, GFLOPS=16781.83
warptile_kernel: M=4096 N=4096 K=4096, time=10.8508 ms, GFLOPS=12666.23
warptile_vec_kernel: M=4096 N=4096 K=4096, time=7.9215 ms, GFLOPS=17350.21
bank_conflict_kernel: M=4096 N=4096 K=4096, time=8.0375 ms, GFLOPS=17099.76
double_buffer_kernel: M=4096 N=4096 K=4096, time=8.0557 ms, GFLOPS=17061.07
