#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 09:35:38       0     54     31     30   1593    210      5      9 
 09:35:39       0     54     31     31   1593    210      0      0 
 09:35:40       0     54     31     30   1593    210      0      0 
 09:35:41       0     54     31     30   1593    210      0      0 
 09:35:42       0     54     31     30   1593    210      0      0 
 09:35:43       0     54     31     31   1593    210      0      0 
 09:35:44       0     66     31     30   1593   1140      0      0 
 09:35:45       0     61     31     30   1593   1140      0      0 
 09:35:46       0     61     31     30   1593   1140      2      4 
 09:35:47       0     61     31     30   1593   1140     17     19 
 09:35:48       0     62     31     30   1593   1140      7     25 
 09:35:49       0     64     31     30   1593   1140      0      0 
 09:35:50       0     60     31     30   1593   1140      0      0 
 09:35:51       0     63     31     30   1593   1140      2     91 
 09:35:52       0     62     31     30   1593   1140    848    535 
 09:35:53       0     64     31     30   1593   1140     22     50 
 09:35:54       0     61     31     30   1593   1140      0      0 
 09:35:55       0     61     31     30   1593   1140     15      8 
 09:35:57       0     65     31     30   1593   1140      0      0 
 09:35:58       0     64     31     30   1593   1140      0      0 
 09:35:59       0     61     31     30   1593   1140      0      5 
 09:36:00       0     61     31     30   1593   1140     18    360 
 09:36:01       0     61     31     30   1593   1140     47      0 
 09:36:02       0     61     31     30   1593   1140      0      0 
 09:36:03       0     61     31     30   1593   1140     10     16 
 09:36:04       0     61     31     30   1593   1140     23     50 
 09:36:05       0     60     31     30   1593   1140      0      0 
 09:36:06       0     61     31     30   1593   1140     33     20 
 09:36:07       0     61     31     31   1593   1140     20     34 
 09:36:08       0     65     31     30   1593   1140     12      0 
 09:36:09       0     77     32     30   1593   1410     32     23 
 09:36:10       0     79     34     32   1593   1410      2    102 
 09:36:11       0     76     34     32   1593   1410     20     45 
 09:36:13       0     76     33     31   1593   1410      4      3 
 09:36:14       0     61     32     31   1593   1140     10     14 
 09:36:15       0    252     35     32   1593   1410     12     23 
 09:36:16       0     79     34     32   1593   1410     12      0 
 09:36:17       0     83     33     31   1593   1410     21    319 
 09:36:18       0    193     36     32   1593   1410      0      0 
 09:36:19       0     77     34     32   1593   1410     18      2 
 09:36:20       0     86     33     32   1593   1410      4      1 
 09:36:22       0     86     35     32   1593   1410      0      0 
 09:36:23       0     77     33     32   1593   1410     32     23 
 09:36:24       0     77     35     32   1593   1410      2     91 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 09:36:25       0     76     34     33   1593   1410     32     23 
 09:36:26       0    259     38     33   1593   1410      0      0 
 09:36:27       0     76     34     32   1593   1410     29     20 
 09:36:28       0    124     37     33   1593   1410      0      0 
 09:36:29       0     75     34     32   1593   1410     32     23 
 09:36:30       0    229     37     33   1593   1410      0      0 
 09:36:31       0     76     34     32   1593   1410     32     22 
 09:36:32       0     75     33     32   1593   1410      3    102 
 09:36:33       0     76     33     32   1593   1410      0      0 
 09:36:34       0     75     33     32   1593   1410      0      0 
 09:36:35       0     75     33     32   1593   1410      0      5 
 09:36:36       0     61     33     32   1593   1140     31      9 
 09:36:38       0     60     32     32   1593   1140      4      2 
 09:36:39       0     65     32     32   1593   1140      0      0 
 09:36:40       0     62     32     31   1593   1140     17    318 
 09:36:41       0     61     32     31   1593   1140      0      0 
 09:36:42       0     61     32     31   1593   1140     13     19 
 09:36:43       0     65     32     31   1593   1140      5     11 
 09:36:44       0     61     32     31   1593   1140     27     19 
 09:36:45       0     72     32     31   1593   1290      1      0 
 09:36:46       0     67     32     31   1593   1290     88    721 
 09:36:47       0     75     32     31   1593   1410     32     22 
 09:36:48       0     71     32     31   1593   1140   6169      0 
 09:36:49       0     86     37     32   1593   1410      0      0 
 09:36:50       0    342     40     35   1593   1410      7     19 
 09:36:51       0     76     36     33   1593   1410      0      0 
 09:36:52       0     75     34     33   1593   1410      0      0 
 09:36:53       0     61     33     32   1593    690      1      0 
 09:36:54       0     55     32     32   1593    435     10     11 
 09:36:55       0     86     36     33   1593   1410      0      0 
 09:36:56       0     77     33     32   1593   1410      0      0 
 09:36:58       0     55     33     32   1593    360      0      0 
 09:36:59       0     77     35     33   1593   1410      0      5 
 09:37:00       0     77     34     32   1593   1410      0      0 
