#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 09:37:01       0     62     33     32   1593    300      7      0 
 09:37:02       0     76     33     32   1593   1410      0      0 
 09:37:03       0     76     33     32   1593   1410      0      0 
 09:37:04       0     76     33     32   1593   1410      0      0 
 09:37:05       0     76     33     32   1593   1410      0      0 
 09:37:06       0     76     33     32   1593   1410      0      0 
 09:37:07       0     77     33     32   1593   1410      5      0 
 09:37:08       0     77     33     32   1593   1410     32     23 
 09:37:09       0     79     33     32   1593   1410     11     26 
 09:37:10       0     77     33     31   1593   1410      0      0 
 09:37:11       0     76     33     31   1593   1410     17     23 
 09:37:13       0     76     33     31   1593   1410      5      1 
 09:37:14       0     76     33     32   1593   1410      5      5 
 09:37:15       0     82     33     31   1593   1410     20    320 
 09:37:16       0     77     33     31   1593   1410      0      0 
 09:37:17       0     76     33     31   1593   1410      0      0 
 09:37:18       0     76     33     32   1593   1410      0      0 
 09:37:19       0     77     33     31   1593   1410     22     18 
 09:37:20       0     85     33     31   1593   1410      0      0 
 09:37:21       0     77     33     32   1593   1410      0      0 
 09:37:22       0     84     33     31   1593   1410    137    117 
 09:37:23       0     85     33     31   1593   1410      0      0 
 09:37:25       0     76     33     31   1593   1410      8     19 
 09:37:26       0     80     33     31   1593   1410      0      0 
 09:37:27       0     77     33     31   1593   1410      0      0 
 09:37:28       0     77     33     31   1593   1410     32     22 
 09:37:29       0     85     33     31   1593   1410      0      0 
 09:37:30       0     76     33     31   1593   1410      0      5 
 09:37:31       0     80     33     31   1593   1410      0   1382 
 09:37:32       0     77     33     32   1593   1410      0      0 
 09:37:33       0     83     32     31   1593   1410     32     23 
 09:37:34       0    295     41     34   1593   1410      4      1 
 09:37:35       0     80     34     32   1593   1410      5      2 
 09:37:36       0     80     40     34   1593   1410      8      1 
 09:37:37       0     76     36     33   1593   1410      0      0 
 09:37:38       0     75     34     32   1593   1410      5     20 
 09:37:39       0    332     38     33   1593   1410      0      0 
 09:37:40       0     78     34     33   1593   1410     27     17 
 09:37:41       0     79     34     32   1593   1410      4      0 
 09:37:43       0     75     34     32   1593   1410     12      0 
 09:37:44       0     76     34     32   1593   1410     20     16 
 09:37:45       0    302     43     33   1593   1410      2      2 
 09:37:46       0    224     40     35   1593   1410      8      3 
 09:37:47       0     85     37     33   1593   1410      0      0 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 09:37:48       0     75     34     33   1593   1410     32     23 
 09:37:49       0     84     36     33   1593   1410      0      0 
 09:37:50       0     76     34     33   1593   1410     18     23 
 09:37:51       0    196     38     33   1593   1410     36      0 
 09:37:52       0     75     34     32   1593   1410     18      2 
 09:37:53       0    239     36     33   1593   1410      0      0 
 09:37:54       0     81     34     33   1593   1410      4      1 
 09:37:55       0     75     34     32   1593   1410     15      3 
 09:37:56       0     75     34     33   1593   1410      0      0 
 09:37:57       0     75     33     32   1593   1410      0      0 
 09:37:58       0     79     34     32   1593   1410      0      0 
 09:37:59       0     76     33     32   1593   1410     20     23 
 09:38:00       0     75     33     32   1593   1410      0      4 
 09:38:02       0     84     34     32   1593   1410      0      0 
 09:38:03       0     83     33     32   1593   1410     10     26 
 09:38:04       0     74     33     32   1593   1410      5      0 
 09:38:05       0     78     40     33   1593   1410      2      0 
 09:38:06       0     76     34     32   1593   1410      0      0 
 09:38:07       0     74     33     32   1593   1410      0      0 
 09:38:08       0     74     33     32   1593   1410      0      0 
 09:38:09       0     75     33     32   1593   1410      0      0 
 09:38:10       0    309     46     33   1593   1410      2      1 
 09:38:11       0     76     35     33   1593   1410      0      0 
 09:38:12       0     75     34     32   1593   1410      6     19 
 09:38:13       0    317     43     36   1593   1410      7      3 
 09:38:14       0     78     36     33   1593   1410      0      0 
 09:38:15       0     77     35     33   1593   1410      0      0 
 09:38:16       0     75     34     33   1593   1410      0      5 
 09:38:17       0     75     34     33   1593   1410     31     21 
 09:38:19       0     76     35     33   1593   1410      0      0 
 09:38:20       0     75     34     33   1593   1410      0      0 
 09:38:21       0     75     34     33   1593   1410      0      0 
 09:38:22       0     81     35     33   1593   1410     19     20 
