#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 07:42:43       0     17     47      -    405    210     10      2 
 07:42:44       0     17     46      -    405    210      0      0 
 07:42:45       0     17     46      -    405    210      0      1 
 07:42:46       0     17     46      -    405    210      0      0 
 07:42:47       0     17     45      -    405    210      0      1 
 07:42:48       0     17     45      -    405    210      0      0 
 07:42:49       0     17     45      -    405    210      0      1 
 07:42:50       0     17     45      -    405    210      0      2 
 07:42:51       0     17     44      -    405    210      8     17 
 07:42:52       0     17     44      -    405    210      0      0 
 07:42:53       0     17     43      -    405    210      0      0 
 07:42:55       0     17     43      -    405    210      1      0 
 07:42:56       0     17     43      -    405    210      0      2 
 07:42:57       0     17     42      -    405    210      0      0 
 07:42:58       0     17     42      -    405    210      1      0 
 07:42:59       0     17     42      -    405    210      0      0 
 07:43:00       0     17     41      -    405    210      0      1 
 07:43:01       0     17     41      -    405    210      0      0 
 07:43:02       0     17     41      -    405    210      0      1 
 07:43:03       0     17     41      -    405    210      0      0 
 07:43:04       0     16     40      -    405    210      0      2 
 07:43:05       0     16     40      -    405    210      0      0 
 07:43:06       0     17     40      -    405    210      0      1 
 07:43:07       0     16     40      -    405    210      0      0 
 07:43:08       0     16     39      -    405    210      0      1 
 07:43:09       0     16     39      -    405    210      0      4 
 07:43:10       0     16     39      -    405    210      0      1 
 07:43:11       0     16     39      -    405    210      0      9 
 07:43:12       0     16     39      -    405    210     15     21 
 07:43:13       0     44     40      -   6251   1695     28      0 
 07:43:15       0     60     41      -   6251   1695     32     25 
 07:43:16       0     60     41      -   6251   1695      3      6 
 07:43:17       0     61     41      -   6251   1695     15    342 
 07:43:18       0     60     41      -   6251   1695      0      0 
 07:43:19       0     60     41      -   6251   1695      0     16 
 07:43:20       0     60     42      -   6251   1695     16     80 
 07:43:21       0     60     41      -   6251   1695     25     25 
 07:43:22       0     61     42      -   6251   1695      0      0 
 07:43:23       0     61     42      -   6251   1695      0    113 
 07:43:24       0     60     42      -   6251   1695     29     29 
 07:43:25       0     60     42      -   6251   1695      0      0 
 07:43:26       0     61     42      -   6251   1695     46      0 
 07:43:27       0     61     42      -   6251   1695      0     18 
 07:43:28       0     61     42      -   6251   1695      0      0 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 07:43:29       0     61     42      -   6251   1695     19     78 
 07:43:30       0     61     42      -   6251   1695      3     28 
 07:43:31       0     61     42      -   6251   1695     48      0 
 07:43:32       0     80     42      -   6251   1680     10      4 
 07:43:34       0    145     47      -   6251   1380      9      3 
 07:43:35       0    111     48      -   6251   1575     15      4 
 07:43:36       0    120     48      -   6251   1485      0      5 
 07:43:37       0     83     46      -   6251    780     22      8 
 07:43:38       0     77     45      -   6251   1680     39     33 
 07:43:39       0     90     45      -   6251   1680      0      0 
 07:43:40       0     78     45      -   6251   1560     18      6 
 07:43:41       0     88     45      -   6251   1680    140   1202 
 07:43:42       0     79     45      -   6251   1680     35     34 
 07:43:43       0    129     50      -   6251   1410      4     12 
 07:43:44       0    109     49      -   6251   1605      7      3 
 07:43:45       0    121     47      -   6251   1695      8      3 
 07:43:46       0     99     47      -   6251   1680      0      0 
 07:43:47       0     83     49      -   6251   1425      0      0 
 07:43:48       0     88     47      -   6251   1440     20     70 
 07:43:49       0     89     47      -   6251   1695     11      3 
 07:43:50       0     85     47      -   6251   1680    115    704 
 07:43:51       0     70     46      -   6251   1695      6     32 
 07:43:52       0     88     46      -   6251   1695      0      0 
 07:43:54       0     82     47      -   6251   1695      0      0 
 07:43:55       0     79     46      -   6251   1695     28     58 
 07:43:56       0     64     46      -   6251   1695     19     28 
 07:43:57       0     69     47      -   6251   1665      0      0 
 07:43:58       0     69     46      -   6251   1695      0     25 
 07:43:59       0     72     46      -   6251   1005     14      6 
 07:44:00       0     78     46      -   6251   1680      0      0 
 07:44:01       0     70     46      -   6251   1695      0      0 
 07:44:02       0    116     50      -   6251   1065      7      5 
 07:44:03       0    100     49      -   6251    660      0      0 
 07:44:04       0    156     51      -   6251    780     33      8 
 07:44:05       0     86     48      -   6251   1695    106      0 
 07:44:06       0     76     47      -   6251   1695      0      0 
 07:44:07       0     62     47      -   6251   1695      0      0 
 07:44:08       0     45     46      -   6251   1635      0      5 
 07:44:09       0    145     50      -   6251   1635      2      2 
