#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 07:39:53       0     15     41      -    405    210      8      1 
 07:39:54       0     15     41      -    405    210      0      0 
 07:39:55       0     15     41      -    405    210      0      0 
 07:39:56       0     15     41      -    405    210      0      0 
 07:39:57       0     15     41      -    405    210      0      0 
 07:39:59       0     15     41      -    405    210      3      0 
 07:40:00       0     15     41      -    405    210      0      0 
 07:40:01       0     15     41      -    405    210      0      0 
 07:40:02       0     15     41      -    405    210      0      0 
 07:40:03       0     15     41      -    405    210      0      0 
 07:40:04       0     15     41      -    405    210      0      0 
 07:40:05       0     15     41      -    405    210      0      0 
 07:40:06       0     15     41      -    405    210      0      0 
 07:40:07       0     15     41      -    405    210      0      0 
 07:40:08       0     15     41      -    405    210      0      0 
 07:40:09       0     15     41      -    405    210      0      1 
 07:40:10       0     15     41      -    405    210      1      1 
 07:40:11       0     15     41      -    405    210      0      0 
 07:40:12       0     15     41      -    405    210      0      0 
 07:40:13       0     15     41      -    405    210      0      0 
 07:40:14       0     15     41      -    405    210      0      0 
 07:40:15       0     15     41      -    405    210      0      0 
 07:40:16       0     15     41      -    405    210      0      0 
 07:40:17       0     15     40      -    405    210      0      0 
 07:40:18       0     16     40      -    405    210      0      0 
 07:40:19       0     15     40      -    405    210      0      0 
 07:40:21       0     15     40      -    405    210      0      0 
 07:40:22       0     15     40      -    405    210      0      0 
 07:40:23       0     15     40      -    405    210      0      0 
 07:40:24       0     15     40      -    405    210      0      0 
 07:40:25       0     15     40      -    405    210      0      0 
 07:40:26       0     15     40      -    405    210      0      0 
 07:40:27       0     15     40      -    405    210     11     16 
 07:40:28       0     22     41      -   6251   2040      0      0 
 07:40:29       0     29     41      -   6251   2040      0     12 
 07:40:30       0     29     41      -   6251   2040     20     17 
 07:40:31       0     29     41      -   6251   2040      0      0 
 07:40:32       0     28     41      -   6251   2040      8      0 
 07:40:33       0     29     41      -   6251   2040   5192      0 
 07:40:34       0     28     41      -   6251   2040      7     20 
 07:40:35       0     28     41      -   6251   2040      0      0 
 07:40:36       0     29     41      -   6251   2040      0      0 
 07:40:37       0     29     41      -   6251   2040     17     23 
 07:40:38       0     28     41      -   6251   2040      2      1 
#Time         gpu    pwr  gtemp  mtemp   mclk   pclk  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C    MHz    MHz   MB/s   MB/s 
 07:40:39       0     29     41      -   6251   2040      0      4 
 07:40:40       0     28     41      -   6251   2040     19     17 
 07:40:42       0     28     41      -   6251   2040      0      0 
 07:40:43       0     28     41      -   6251   2040     16     18 
 07:40:44       0     28     41      -   6251   2040    906      3 
 07:40:45       0     28     41      -   6251   2040      0      0 
 07:40:46       0     39     42      -   6251   1635      1      0 
 07:40:47       0     73     46      -   6251   1425      1      0 
 07:40:48       0     58     46      -   6251   1635      1      0 
 07:40:49       0     54     43      -   6251   2040      0      1 
 07:40:50       0     61     47      -   6251   1050     24     10 
 07:40:51       0     42     43      -   6251   2025     10    402 
 07:40:52       0     46     46      -   6251    795      0      0 
 07:40:53       0     36     44      -   6251   2040   8874      0 
 07:40:54       0     49     44      -   6251   1965      0      0 
 07:40:55       0     37     47      -   6251    900      2      0 
 07:40:56       0     38     44      -   6251   2025     21     18 
 07:40:57       0     61     50      -   6251   1515      0      0 
 07:40:58       0     51     49      -   6251   2040      0      0 
 07:40:59       0     55     50      -   6251   1725      0      0 
 07:41:00       0     40     45      -   6251   2040      2      0 
 07:41:01       0     48     45      -   6251   2025    115    653 
 07:41:02       0     36     45      -   6251   2025      8     77 
 07:41:04       0     37     48      -   6251   1935      0      0 
 07:41:05       0     40     50      -   6251   1320      0      0 
 07:41:06       0     43     48      -   6251   1995      0      0 
 07:41:07       0     38     46      -   6251   2025      0      0 
 07:41:08       0     36     45      -   6251   2040      0      0 
 07:41:09       0     29     45      -   6251   2040     19      6 
 07:41:10       0     29     45      -   6251   2040      0      0 
 07:41:11       0     30     47      -   6251   2040     29      0 
 07:41:12       0     33     45      -   6251   2025    114    897 
 07:41:13       0     39     45      -   6251   2025      0      0 
 07:41:14       0     37     45      -   6251   2040     21      4 
 07:41:15       0     60     50      -   6251   1080      0      0 
 07:41:16       0     46     46      -   6251   2040     14     11 
 07:41:17       0     66     49      -   6251    585      2      1 
 07:41:18       0     71     49      -   6251    600      2      0 
 07:41:19       0     37     50      -   6251   1200      1     12 
 07:41:20       0     33     46      -   6251   2040      5      0 
 07:41:21       0     57     50      -   6251   1320      2      1 
 07:41:22       0     56     47      -   6251   2040      2      1 
